date,close,code,high,industry,low,name,open,province,volume
2016/12/30,17.6,SH600036,17.61,银行,17.47,招商银行,17.53,广东省,227259.52
2016/12/29,17.49,SH600036,17.62,银行,17.43,招商银行,17.6,广东省,284391.91
2016/12/28,17.62,SH600036,17.77,银行,17.49,招商银行,17.72,广东省,267871.88
2016/12/27,17.71,SH600036,17.82,银行,17.65,招商银行,17.73,广东省,100907.99
2016/12/26,17.75,SH600036,17.77,银行,17.39,招商银行,17.56,广东省,163431
2016/12/23,17.6,SH600036,17.77,银行,17.54,招商银行,17.77,广东省,181081.64
2016/12/22,17.72,SH600036,17.85,银行,17.65,招商银行,17.85,广东省,219230.62
2016/12/21,17.81,SH600036,17.98,银行,17.77,招商银行,17.83,广东省,308684.03
2016/12/20,17.79,SH600036,17.99,银行,17.7,招商银行,17.99,广东省,298001.66
2016/12/19,18.01,SH600036,18.18,银行,17.93,招商银行,18.15,广东省,246244.88
2016/12/16,18.18,SH600036,18.4,银行,18.12,招商银行,18.24,广东省,242168.36
2016/12/15,18.24,SH600036,18.73,银行,18.2,招商银行,18.73,广东省,366124.62
2016/12/14,18.82,SH600036,19.14,银行,18.8,招商银行,18.8,广东省,327806.88
2016/12/13,18.88,SH600036,19.2,银行,18.81,招商银行,19.09,广东省,249331.78
2016/12/12,19.25,SH600036,19.65,银行,18.9,招商银行,19.16,广东省,794881.81
2016/12/9,19.2,SH600036,19.34,银行,18.75,招商银行,18.76,广东省,625821.12
2016/12/8,18.76,SH600036,18.88,银行,18.62,招商银行,18.67,广东省,269307.34
2016/12/7,18.62,SH600036,18.71,银行,18.58,招商银行,18.65,广东省,121672.26
2016/12/6,18.59,SH600036,18.78,银行,18.57,招商银行,18.66,广东省,317290.59
2016/12/5,18.64,SH600036,18.67,银行,18.34,招商银行,18.39,广东省,503517.66
2016/12/2,18.5,SH600036,18.54,银行,18.24,招商银行,18.53,广东省,483921.41
2016/12/1,18.51,SH600036,18.64,银行,18.41,招商银行,18.55,广东省,537989.56
2016/11/30,18.55,SH600036,18.82,银行,18.47,招商银行,18.76,广东省,391298.09
2016/11/29,18.74,SH600036,18.76,银行,18.51,招商银行,18.65,广东省,491079.94
2016/11/28,18.66,SH600036,19.2,银行,18.52,招商银行,19.1,广东省,851464.69
2016/11/25,18.99,SH600036,19.02,银行,18.66,招商银行,18.8,广东省,409433.12
2016/11/24,18.75,SH600036,18.97,银行,18.61,招商银行,18.77,广东省,267501.97
2016/11/23,18.83,SH600036,18.9,银行,18.37,招商银行,18.4,广东省,663515.12
2016/11/22,18.38,SH600036,18.49,银行,18.28,招商银行,18.37,广东省,524920.06
2016/11/21,18.34,SH600036,18.68,银行,18.08,招商银行,18.08,广东省,413476.41
2016/11/18,18.11,SH600036,18.16,银行,18.03,招商银行,18.12,广东省,185514.58
2016/11/17,18.12,SH600036,18.14,银行,18.01,招商银行,18.11,广东省,271773.25
2016/11/16,18.12,SH600036,18.29,银行,18.05,招商银行,18.23,广东省,235212.73
2016/11/15,18.18,SH600036,18.24,银行,18.03,招商银行,18.1,广东省,256507.31
2016/11/14,18.03,SH600036,18.25,银行,17.95,招商银行,18,广东省,353540.72
2016/11/11,18.03,SH600036,18.08,银行,17.93,招商银行,17.95,广东省,276348.53
2016/11/10,17.99,SH600036,18.11,银行,17.94,招商银行,17.95,广东省,271170.31
2016/11/9,17.89,SH600036,18.08,银行,17.77,招商银行,18,广东省,342437.88
2016/11/8,17.99,SH600036,18.06,银行,17.89,招商银行,17.92,广东省,262348.5
2016/11/7,17.91,SH600036,17.93,银行,17.85,招商银行,17.91,广东省,208258.31
2016/11/4,17.9,SH600036,18,银行,17.87,招商银行,17.9,广东省,269388.16
2016/11/3,17.94,SH600036,17.97,银行,17.79,招商银行,17.83,广东省,270809.69
2016/11/2,17.86,SH600036,17.94,银行,17.76,招商银行,17.86,广东省,309536
2016/11/1,17.98,SH600036,17.99,银行,17.79,招商银行,17.87,广东省,189405.36
2016/10/31,17.87,SH600036,17.96,银行,17.72,招商银行,17.87,广东省,128933.23
2016/10/28,17.96,SH600036,18.05,银行,17.8,招商银行,17.8,广东省,204116.27
2016/10/27,17.81,SH600036,18.06,银行,17.77,招商银行,18.06,广东省,218250.12
2016/10/26,17.98,SH600036,18.15,银行,17.95,招商银行,18.12,广东省,143368.06
2016/10/25,18.14,SH600036,18.46,银行,18.09,招商银行,18.31,广东省,197582.14
2016/10/24,18.31,SH600036,18.42,银行,17.86,招商银行,17.93,广东省,291560.34
2016/10/21,17.91,SH600036,17.93,银行,17.82,招商银行,17.91,广东省,124363.52
2016/10/20,17.89,SH600036,17.98,银行,17.83,招商银行,17.9,广东省,123579.1
2016/10/19,17.88,SH600036,18.05,银行,17.83,招商银行,17.93,广东省,119301.49
2016/10/18,17.92,SH600036,17.99,银行,17.84,招商银行,17.86,广东省,143019.48
2016/10/17,17.86,SH600036,18.1,银行,17.83,招商银行,18.07,广东省,122380.87
2016/10/14,18.1,SH600036,18.15,银行,18,招商银行,18.1,广东省,122385.16
2016/10/13,18.09,SH600036,18.21,银行,18.05,招商银行,18.15,广东省,105598.24
2016/10/12,18.16,SH600036,18.31,银行,18.1,招商银行,18.28,广东省,104799.69
2016/10/11,18.31,SH600036,18.49,银行,18.26,招商银行,18.33,广东省,129294.2
2016/10/10,18.29,SH600036,18.38,银行,18.03,招商银行,18.03,广东省,190938.95
2016/9/30,18,SH600036,18.1,银行,17.95,招商银行,17.96,广东省,84308.17
